date,country,location,purpose,president
"May 20–22, 2017",Saudi Arabia,Riyadh,"met with King Salman and Muslim leaders at the Riyadh Summit.[1] Signed a $110 billion arms deal with Saudi Arabia,[2] and was honored with the Collar of Abdulaziz Al Saud, his first foreign order.[3] Visited, along with First Lady Melania Trump, the National Museum of Saudi Arabia.[4]",Donald Trump
"May 22–23, 2017",Israel,Jerusalem,"Met with President Reuven Rivlin and Prime Minister Benjamin Netanyahu.[1] Visited the Western Wall and the Church of the Holy Sepulchre, the first sitting U.S. President to do so.[5] Visited the Yad Vashem and delivered an address at the Israel Museum.[6]",Donald Trump
"May 23, 2017",Palestinian National Authority (West Bank),Bethlehem,Met with Palestinian President Mahmoud Abbas.[7],Donald Trump
"May 23–24, 2017",Italy,Rome,Met with President Sergio Mattarella and Prime Minister Paolo Gentiloni.[8],Donald Trump
"May 24, 2017",Vatican City,Vatican City,Met with Pope Francis.[1][9],Donald Trump
"May 24–25, 2017",Belgium,Brussels,"Met with King Philippe and Prime Minister Charles Michel. Attended the 28th NATO summit and the U.S.-EU Summit Meeting, where he also met with French President Emmanuel Macron.[10][11][12]",Donald Trump
"May 25–27, 2017",Italy,Taormina,Attended the 43rd G7 summit. He also held a bilateral meeting with Japanese Prime Minister Shinzō Abe.,Donald Trump
"July 5–6, 2017",Poland,Warsaw,Met with President Andrzej Duda and Croatian President Kolinda Grabar-Kitarovic.[13][14] Attended the 2nd summit of the Three Seas Initiative.[15] Also gave a speech in front of the Warsaw Uprising Monument in Warsaw's Krasiński Square to honor victims of the past Nazi occupation and Communist domination in Poland.[16],Donald Trump
"July 6–8, 2017",Germany,Hamburg,"Attended the 2017 G20 Hamburg summit, along with his daughter Ivanka Trump.[17] Also held bilateral meetings with German Chancellor Angela Merkel, Mexican President Enrique Pena Nieto, Indonesian President Joko Widodo, Russian President Vladimir Putin, Chinese President Xi Jinping, Japanese Prime Minister Shinzō Abe, Singaporean Prime Minister Lee Hsien Loong and British Prime Minister Theresa May.[18][19][20]",Donald Trump
"July 13–14, 2017",France,Paris,Met with President Emmanuel Macron.[21] Participated in the Bastille Day Military Parade.[22],Donald Trump
"November 5–7, 2017",Japan,Tokyo,Met with Emperor Akihito and Prime Minister Shinzō Abe.,Donald Trump
"November 7–8, 2017",South Korea,Seoul,"State visit. Met with South Korean President Moon Jae-in, and addressed the South Korean National Assembly. Also met with troops from the Eighth United States Army at Camp Humphreys.[23]",Donald Trump
"November 8–10, 2017",China,Beijing,State visit.[24] President Trump arrived in Beijing to meet with President Xi Jinping and Premier Li Keqiang.,Donald Trump
"November 10–12, 2017",Vietnam,"Đà Nẵng,Hà Nội","State visit. Met with President Trần Đại Quang, Prime Minister Nguyễn Xuân Phúc and Communist Party General Secretary Nguyễn Phú Trọng. Attended the APEC Vietnam 2017.[25][26]",Donald Trump
"November 12–14, 2017",Philippines,"Manila,Pasay","Attended the 31st ASEAN Summit, but skipped the 12th East Asia Summit. Met with President Rodrigo Duterte.[27]",Donald Trump
"January 25–26, 2018",Switzerland,Davos,Attended the World Economic Forum;[28][29] also held bilateral meetings with British Prime Minister Theresa May and Israeli Prime Minister Benjamin Netanyahu.,Donald Trump
"June 8–9, 2018",Canada,La Malbaie,Attended the 44th G7 summit; also held bilateral meetings with Canadian Prime Minister Justin Trudeau and French President Emmanuel Macron.,Donald Trump
"June 10–12, 2018",Singapore,"Central Area,Sentosa Island",Attended the summit meeting with North Korean Leader Kim Jong-un. Also met with Prime Minister Lee Hsien Loong.[30],Donald Trump
"July 10–12, 2018",Belgium,Brussels,"Attended the 29th NATO summit; also held bilateral meetings with NATO Secretary General Jens Stoltenberg, French President Emmanuel Macron and German Chancellor Angela Merkel.",Donald Trump
"July 12–15, 2018",United Kingdom,"London,Oxfordshire,Buckinghamshire,South Ayrshire","Met with Prime Minister Theresa May, and watched a joint special forces operation with her at Sandhurst;[31] also with Queen Elizabeth II. Spent weekend at his Turnberry golf resort in Scotland.",Donald Trump
"July 15–16, 2018",Finland,Helsinki,Attended the summit meeting with Russian President Vladimir Putin. Met with Finnish President Sauli Niinistö.,Donald Trump
"November 11, 2018",France,Paris,Has been invited by President Macron to attend to Armistice Day Centenary celebrations in France.[32],Donald Trump
"November 11–15, 2018",Singapore,Central Area,"Has accepted President Halimah Yacob's invitation to make a State Visit to Singapore in November 2018, in conjunction with the 6th ASEAN-US Summit and 13th East Asia Summit.[33] The 33rd Asean summit is scheduled to be held from Nov 11 to 15 in Singapore.[34]",Donald Trump
"November, 2018",Malaysia,Kuala Lumpur,May visit Malaysia after the 6th ASEAN-US Summit and the 13th East Asian Summit in Singapore.[34],Donald Trump
"November, 2018",Australia,"Canberra,Sydney,Brisbane,Cairns",May visit Australia before the APEC summit.[35],Donald Trump
"November 18, 2018",Papua New Guinea,Port Moresby,Scheduled to attend the APEC Papua New Guinea 2018. He will be the first U.S. President to visit the country.,Donald Trump
"November 30 – December 1, 2018",Argentina,Buenos Aires,Scheduled to attend the 2018 G20 Buenos Aires summit.,Donald Trump
"February 19, 2009",Canada,Ottawa,"Met with Governor General Michaëlle Jean, Prime Minister Stephen Harper, and Leader of the Opposition Michael Ignatieff.[1][2][3]",Barack Obama
"March 31 – April 3, 2009",United Kingdom,London,"Attended the G-20 summit.[4] Met with Prime Minister Gordon Brown,[5] Leader of the Opposition David Cameron,[6] and with Queen Elizabeth II.[7][8]",Barack Obama
"April 3–4, 2009",France Germany,"Strasbourg,Baden-Baden, Kehl",Attended the NATO Summit Meeting.[9][10][11][12],Barack Obama
"April 4–5, 2009",Czech Republic,Prague,Attended the U.S.-EU Summit Meeting. Met with President Václav Klaus. Delivered public speech on nuclear disarmament in Hradčany Square.[13][14],Barack Obama
"April 5–7, 2009",Turkey,"Ankara,Istanbul","Met with President Abdullah Gül and Prime Minister Recep Tayyip Erdoğan, delivered a speech to the Grand National Assembly, and participated in a wreath laying ceremony at Anitkabir Mausoleum.[15] He also met with Ecumenical Patriarch Bartholomew I of Constantinople of the Eastern Orthodox Church in Istanbul,[16] attended the Alliance of Civilizations forum,[17] visited the Hagia Sophia and Blue Mosque, and held a town hall with students at the Tophane Cultural Center.[18][19][20][21]",Barack Obama
"April 7–8, 2009",Iraq,Baghdad,Met with President Jalal Talabani and Prime Minister Nouri al-Maliki. Visited with U.S. troops.[22][23],Barack Obama
"April 16–17, 2009",Mexico,Mexico City,Met with President Felipe Calderón.[24][25],Barack Obama
"April 17–18, 2009",Trinidad and Tobago,Port of Spain,Attended the 5th Summit of the Americas.[26][27],Barack Obama
"June 3–4, 2009",Saudi Arabia,Riyadh,Met with King Abdullah and discussed various regional issues.[28][29],Barack Obama
"June 4, 2009",Egypt,Cairo,Met with President Hosni Mubarak. Toured the Giza Pyramids and the Sultan Hassan Mosque. Delivered a speech at Cairo University.[28][30],Barack Obama
"June 4–5, 2009",Germany,"Dresden,Weimar,Landstuhl",Met with Chancellor Angela Merkel. Visited the Buchenwald concentration camp and visited wounded U.S. military personnel at theLandstuhl Regional Medical Center.[31],Barack Obama
"June 5–7, 2009",France,"Paris,Caen,Normandy","Met with President Nicolas Sarkozy and dedicated the new visitor center at the U.S. Military Cemetery in Normandy. Dignitaries joining with them to commemorate the 65th anniversary of D-Day included British Prime Minister Gordon Brown, Canadian Prime Minister Stephen Harper, and Prince Charles, Prince of Wales.[32][33]",Barack Obama
"July 6–8, 2009",Russia,Moscow,"Met with President Dmitry Medvedev and Prime Minister Vladimir Putin.  Also delivered a speech to the New Economic School, and met with dissidents and opposition leaders.[34]",Barack Obama
"July 8–10, 2009",Italy,"L'Aquila,Rome",Attended the 35th G8 summit. Also met with President Giorgio Napolitano.[35],Barack Obama
"July 10, 2009",Vatican City,Apostolic Palace,"Audience with Pope Benedict XVI, discussed issues such as poverty, stem-cell research, peace in the Middle East, and the need for Christian-Muslim dialogue.[36]",Barack Obama
